site,lcp_ms,ttfb_ms,load_ms
soulcraftagency.com,428,320,921
www.webfx.com,672,202,1300
www.siegemedia.com,356,237,1002
beomniscient.com,460,339,807
firstpagesage.com,968,119,1112
www.singlegrain.com,1092,212,1247
nogood.io,528,346,1690
ipullrank.com,916,439,1570
gofishdigital.com,348,174,1068
victorious.com,624,328,734
www.interodigital.com,492,201,2010
seoprofy.com,636,131,276
revenuezen.com,320,206,386
www.rocktherankings.com,580,185,1384
www.animalz.co,316,241,905
foundationinc.co,500,274,1335
www.growandconvert.com,756,17,1478
www.seerinteractive.com,868,179,2210
growthx.ai,292,91,469
directiveconsulting.com,988,307,2191
coalitiontechnologies.com,428,249,539
thedigitalelevator.com,928,225,878
www.mintcopywritingstudios.com,400,167,1467
skale.so,652,544,1377
