rank,agency,site,crawler,schema,entity,sitemaps,speed,total,types,words,lcp_ms
1,Soulcraft,soulcraftagency.com,25,19,17,15,20,96,16,2367,428
2,Siege Media,www.siegemedia.com,25,18,13,15,20,91,13,657,356
3,Coalition Technologies,coalitiontechnologies.com,25,17,14,15,20,91,17,4891,428
4,Grow and Convert,www.growandconvert.com,25,15,13.5,15,20,88.5,8,671,756
5,SeoProfy,seoprofy.com,25,12,15,15,20,87,7,4526,636
6,WebFX,www.webfx.com,25,18,12,10,20,85,12,1695,672
7,Omniscient Digital,beomniscient.com,25,18,12,10,20,85,12,1238,460
8,NoGood,nogood.io,25,18,6,15,20,84,10,2232,528
9,Go Fish Digital,gofishdigital.com,25,18,6,15,20,84,10,1349,348
10,Single Grain,www.singlegrain.com,25,14,9,15,19.4,82.4,7,2698,1092
11,iPullRank,ipullrank.com,25,18,9,10,20,82,10,872,916
12,Victorious,victorious.com,25,11,10,15,20,81,6,3846,624
13,Intero Digital,www.interodigital.com,25,14,6,15,20,80,7,1978,492
14,Mint Studios,www.mintcopywritingstudios.com,25,11,7.5,15,20,78.5,4,2694,400
15,Skale,skale.so,25,12,6,15,20,78,5,1154,652
16,Digital Elevator,thedigitalelevator.com,25,13,8.5,11,20,77.5,6,1470,928
17,Foundation,foundationinc.co,25,13,4,15,20,77,5,1404,500
18,RevenueZen,revenuezen.com,25,16,0,15,20,76,11,1406,320
19,First Page Sage,firstpagesage.com,25,13,6,11,20,75,6,725,968
20,Directive,directiveconsulting.com,25,15,0,15,20,75,9,1165,988
21,GrowthX,growthx.ai,25,9,8.5,11,20,73.5,3,639,292
22,Seer Interactive,www.seerinteractive.com,25,5,7,15,20,72,1,814,868
23,Rock The Rankings,www.rocktherankings.com,25,0,0,15,20,60,0,2344,580
24,Animalz,www.animalz.co,25,0,0,10,20,55,0,671,316
